record_id,work_date,month,week_start,shift,department,employee_count,labor_hours,units_picked,orders_picked,accurate_orders,quality_defects,safety_incidents
1,2026-01-01,2026-01,2025-12-29,Day,Pick,38,326.82,108173,41736,41219,207,0
2,2026-01-01,2026-01,2025-12-29,Night,Pick,35,299.48,87355,38865,38408,225,0
3,2026-01-01,2026-01,2025-12-29,Weekend,Pick,24,232.53,67613,23548,23315,149,0
4,2026-01-01,2026-01,2025-12-29,Day,Pack,42,413.72,109176,39781,39413,260,0
5,2026-01-01,2026-01,2025-12-29,Night,Pack,20,181.68,42080,15300,15172,55,0
6,2026-01-01,2026-01,2025-12-29,Weekend,Pack,21,213.18,47001,15244,15185,93,0
7,2026-01-01,2026-01,2025-12-29,Day,Stow,36,314.86,66458,20398,20167,285,0
8,2026-01-01,2026-01,2025-12-29,Night,Stow,21,190.77,40369,11421,11236,120,0
9,2026-01-01,2026-01,2025-12-29,Weekend,Stow,40,403.44,83832,26407,25981,315,0
10,2026-01-01,2026-01,2025-12-29,Day,Receive,30,266.58,56709,17179,16943,145,0
11,2026-01-01,2026-01,2025-12-29,Night,Receive,19,167.43,28259,10448,10308,66,0
12,2026-01-01,2026-01,2025-12-29,Weekend,Receive,40,358.66,64447,22749,22563,180,0
13,2026-01-01,2026-01,2025-12-29,Day,Sort,25,243.52,68861,20282,20098,164,0
14,2026-01-01,2026-01,2025-12-29,Night,Sort,22,204.98,49730,21856,21602,121,0
15,2026-01-01,2026-01,2025-12-29,Weekend,Sort,31,293.68,71437,22654,22456,136,0
16,2026-01-02,2026-01,2025-12-29,Day,Pick,18,173.24,51139,14144,14038,153,0
17,2026-01-02,2026-01,2025-12-29,Night,Pick,27,247.93,72739,19521,19394,158,0
18,2026-01-02,2026-01,2025-12-29,Weekend,Pick,23,214.22,55851,17451,17333,144,0
19,2026-01-02,2026-01,2025-12-29,Day,Pack,29,283.4,72723,21105,20973,92,0
20,2026-01-02,2026-01,2025-12-29,Night,Pack,18,154.82,35887,9503,9465,55,0
21,2026-01-02,2026-01,2025-12-29,Weekend,Pack,36,363.76,75877,25483,25230,163,0
22,2026-01-02,2026-01,2025-12-29,Day,Stow,22,210.93,52142,21160,20879,183,0
23,2026-01-02,2026-01,2025-12-29,Night,Stow,35,341.58,75385,22566,22243,274,0
24,2026-01-02,2026-01,2025-12-29,Weekend,Stow,34,313.23,60521,26286,25830,205,0
25,2026-01-02,2026-01,2025-12-29,Day,Receive,18,153.5,31047,12098,11998,109,0
26,2026-01-02,2026-01,2025-12-29,Night,Receive,25,222.53,40905,13356,13226,146,0
27,2026-01-02,2026-01,2025-12-29,Weekend,Receive,25,245.31,45253,18068,17802,124,0
28,2026-01-02,2026-01,2025-12-29,Day,Sort,32,318.56,82272,25349,25163,134,0
29,2026-01-02,2026-01,2025-12-29,Night,Sort,21,185.8,45947,15747,15603,89,0
30,2026-01-02,2026-01,2025-12-29,Weekend,Sort,20,183.95,48666,15798,15607,144,0
31,2026-01-03,2026-01,2025-12-29,Day,Pick,20,201.35,67877,27524,27259,142,0
32,2026-01-03,2026-01,2025-12-29,Night,Pick,19,165.23,44503,15755,15659,135,0
33,2026-01-03,2026-01,2025-12-29,Weekend,Pick,40,404.93,123755,40060,39749,248,0
34,2026-01-03,2026-01,2025-12-29,Day,Pack,19,179.41,46060,13560,13424,90,0
35,2026-01-03,2026-01,2025-12-29,Night,Pack,34,295.23,75982,32636,32342,149,0
36,2026-01-03,2026-01,2025-12-29,Weekend,Pack,25,228.17,55517,17843,17738,73,0
37,2026-01-03,2026-01,2025-12-29,Day,Stow,39,368.57,84676,22913,22549,316,0
38,2026-01-03,2026-01,2025-12-29,Night,Stow,30,259.07,56733,19352,19157,238,1
39,2026-01-03,2026-01,2025-12-29,Weekend,Stow,37,377.3,83184,35898,35331,232,0
40,2026-01-03,2026-01,2025-12-29,Day,Receive,20,199.65,38525,15709,15570,125,0
41,2026-01-03,2026-01,2025-12-29,Night,Receive,38,355.38,67475,21855,21679,145,0
42,2026-01-03,2026-01,2025-12-29,Weekend,Receive,26,223.8,36353,11783,11626,111,0
43,2026-01-03,2026-01,2025-12-29,Day,Sort,24,231.3,69075,22959,22718,196,0
44,2026-01-03,2026-01,2025-12-29,Night,Sort,38,348.17,87521,39680,39429,215,0
45,2026-01-03,2026-01,2025-12-29,Weekend,Sort,41,377.01,97116,31354,30990,281,0
